cohort,accounts,analyzed_post_count_gt0_rate,avg_rhetorical_score_gt0_rate,nonneutral_rhetoric_tag_gt0_rate,oppositional_comment_ratio_gt0_rate,mean_avg_rhetorical_score,mean_nonneutral_tag_count,mean_oppositional_comment_ratio
all_feature_accounts,49767,0.23796893523821006,0.11694496353005003,0.10273876263387385,0.3919062832800852,3.38675042435205,0.3200112524363534,0.25925560043504636
mca_top20,20,1.0,1.0,1.0,1.0,37.50398351648352,10.4,0.3769144808285693
mca_top100,100,1.0,1.0,1.0,0.99,35.43608028351835,16.18,0.31347563701178244
stage1_candidate_accounts,172,0.28488372093023256,0.19767441860465115,0.19186046511627908,1.0,6.654532967032965,1.447674418604651,0.5159105359653814
